dates,AZCAPOTZALCO,COYOACAN,CUAJIMALPA_DE_MORELOS,GUSTAVO_A_MADERO,IZTACALCO,IZTAPALAPA,LA_MAGDALENA_CONTRERAS,MILPA_ALTA,ALVARO_OBREGON,TLAHUAC,TLALPAN,XOCHIMILCO,BENITO_JUAREZ,CUAUHTEMOC,MIGUEL_HIDALGO,VENUSTIANO_CARRANZA
19/04/2021,60,60,51,16,103,37,147,37,15,235,49,129,58,54,48,31
20/04/2021,26,26,34,11,104,42,203,26,13,239,31,92,48,33,28,27
21/04/2021,37,37,36,8,55,33,153,19,9,218,30,56,37,34,28,19
22/04/2021,36,36,25,5,75,28,127,26,14,168,36,72,22,22,22,24
23/04/2021,41,41,34,6,76,20,99,26,11,191,39,80,48,27,34,18
24/04/2021,23,23,28,10,68,20,127,18,7,124,16,76,21,20,30,23
25/04/2021,29,29,26,14,60,19,136,18,12,79,25,78,31,19,24,4
26/04/2021,28,28,33,8,78,19,183,25,8,131,30,98,32,32,36,18
27/04/2021,38,38,30,11,74,33,165,20,8,165,32,74,60,36,38,20
28/04/2021,27,27,28,8,72,11,149,12,12,146,34,91,67,24,23,9
29/04/2021,28,28,24,7,43,8,113,17,6,113,22,61,37,27,26,21
30/04/2021,40,40,23,19,51,23,108,10,14,137,25,61,12,21,22,21
01/05/2021,21,21,17,6,48,15,61,15,11,85,15,49,14,18,28,15
02/05/2021,26,26,17,1,43,15,48,13,12,64,8,42,25,13,24,10
03/05/2021,33,33,32,6,74,23,81,25,8,158,22,62,35,35,27,17
04/05/2021,18,18,34,5,52,15,51,32,6,123,28,71,21,15,30,16
05/05/2021,30,30,27,16,52,15,65,12,12,182,12,66,23,30,21,20
06/05/2021,17,17,24,3,50,10,57,14,9,134,21,80,17,19,20,14
07/05/2021,28,28,28,5,46,9,84,30,3,110,5,43,20,26,14,9
08/05/2021,11,11,16,1,39,22,81,12,5,93,13,38,14,8,14,16
09/05/2021,9,9,15,2,21,10,45,9,4,47,12,37,9,6,11,4
10/05/2021,26,26,20,9,68,23,63,22,9,79,15,74,23,18,22,8
11/05/2021,17,17,31,8,57,9,101,22,8,133,10,83,23,27,24,15
12/05/2021,18,18,15,5,43,19,68,15,6,140,12,49,18,7,31,15
13/05/2021,27,27,23,11,46,22,71,7,6,98,11,70,16,10,22,11
14/05/2021,21,21,24,8,57,16,92,16,5,109,18,60,20,26,20,8
15/05/2021,17,17,18,6,40,16,64,9,8,111,11,41,30,15,11,16
16/05/2021,18,18,20,6,24,10,43,12,5,41,7,36,19,7,15,14
17/05/2021,24,24,20,11,46,24,83,18,5,139,21,47,15,19,22,13
18/05/2021,32,32,25,6,43,21,125,27,11,186,23,49,18,30,24,9
19/05/2021,39,39,19,11,38,12,48,13,4,148,16,30,15,17,25,15
20/05/2021,25,25,12,8,27,21,86,21,5,180,16,76,15,19,10,21
21/05/2021,24,24,21,10,34,14,64,19,5,139,12,59,12,24,22,19
22/05/2021,15,15,19,4,30,7,25,9,3,97,12,48,15,13,15,14
23/05/2021,6,6,15,6,23,11,35,7,9,71,10,48,23,5,13,7
24/05/2021,21,21,40,11,48,15,85,17,12,246,31,65,26,13,34,21
25/05/2021,29,29,34,12,46,17,103,12,2,190,23,53,22,11,39,21
26/05/2021,20,20,27,15,29,11,115,13,4,196,17,51,19,19,19,12
27/05/2021,20,20,26,8,38,16,27,18,2,161,14,44,13,22,21,15
28/05/2021,22,22,42,6,37,14,34,11,4,210,18,69,12,18,20,15
29/05/2021,12,12,29,8,30,9,30,13,5,96,12,62,16,8,22,10
30/05/2021,10,10,28,2,28,20,50,4,2,61,13,57,9,13,17,12
31/05/2021,35,35,24,8,42,22,41,17,2,202,14,84,22,27,31,26
01/06/2021,34,34,37,18,66,28,77,35,4,235,24,72,14,37,46,19
02/06/2021,29,29,31,10,69,26,53,11,2,175,20,48,27,46,27,25
03/06/2021,42,42,25,10,60,20,52,12,4,137,28,24,16,30,29,18
04/06/2021,22,22,30,17,48,16,55,22,11,181,10,59,22,24,38,18
05/06/2021,27,27,26,3,71,25,58,13,6,136,16,60,25,29,25,22
06/06/2021,18,18,24,10,42,15,49,25,7,124,29,59,21,28,32,17
07/06/2021,99,99,32,15,53,22,90,18,8,218,31,65,33,45,54,41
08/06/2021,32,32,31,15,82,29,63,25,5,223,34,72,38,48,52,18
09/06/2021,34,34,34,3,64,33,77,21,8,207,38,78,31,37,37,21
10/06/2021,45,45,31,16,78,28,86,24,4,200,34,91,37,40,35,33
11/06/2021,42,42,24,14,67,35,91,23,4,190,31,95,24,36,47,32
12/06/2021,16,16,22,6,55,24,54,17,3,122,35,45,28,23,32,19
13/06/2021,29,29,28,7,52,30,66,20,6,119,14,69,16,31,36,26
14/06/2021,52,52,54,13,94,41,113,25,6,214,37,67,35,50,70,34
15/06/2021,51,51,69,21,96,40,94,34,6,233,32,108,24,49,67,38
16/06/2021,48,48,46,21,112,46,103,27,7,271,58,84,19,33,63,35
17/06/2021,67,67,34,20,74,17,94,20,7,221,46,77,45,53,47,39
18/06/2021,80,80,38,15,100,37,166,31,12,271,51,110,52,49,55,52
19/06/2021,52,52,48,8,104,48,138,24,13,224,37,60,54,53,65,38
20/06/2021,54,54,52,11,110,53,173,31,15,167,58,126,52,65,78,38
21/06/2021,67,67,51,39,158,42,200,44,23,308,78,118,53,63,89,59
22/06/2021,60,60,77,28,138,69,210,44,16,295,70,127,57,78,84,56
23/06/2021,63,63,61,32,156,63,160,57,23,260,78,137,49,82,82,50
24/06/2021,59,59,50,29,153,48,194,57,16,277,62,138,49,54,98,47
25/06/2021,72,72,65,35,185,68,195,35,18,311,75,171,68,62,105,59
26/06/2021,73,73,70,24,157,34,214,59,18,334,66,173,40,67,74,49
27/06/2021,58,58,54,16,154,39,163,39,26,181,65,135,58,48,78,52
28/06/2021,105,105,87,29,214,55,210,69,25,442,107,214,82,88,126,89
29/06/2021,119,119,78,12,208,81,216,41,37,392,90,214,79,83,113,76
30/06/2021,97,97,84,13,255,57,219,97,40,411,92,245,67,103,95,83
01/07/2021,122,122,107,32,275,77,233,108,61,543,121,291,101,110,144,88
02/07/2021,96,96,91,26,256,168,236,77,42,497,121,237,93,92,118,79
03/07/2021,82,82,109,17,219,135,283,52,61,408,105,210,85,120,118,70
04/07/2021,116,116,78,22,228,187,244,30,66,257,111,258,118,75,106,71
05/07/2021,165,165,142,19,400,184,434,74,99,689,178,531,131,135,208,93
06/07/2021,147,147,204,44,378,172,373,71,79,665,152,359,151,120,163,116
07/07/2021,187,187,173,86,451,131,469,84,72,552,189,354,160,103,190,114
08/07/2021,161,161,155,47,381,121,354,62,79,533,177,430,160,116,197,101
09/07/2021,202,202,173,21,369,121,339,59,58,611,177,403,120,114,142,90
10/07/2021,153,153,172,26,448,224,730,62,110,562,196,549,187,88,170,107
11/07/2021,99,99,109,41,355,119,466,55,81,330,199,333,140,70,110,82
12/07/2021,233,233,228,45,521,344,618,83,113,665,246,390,212,107,191,152
13/07/2021,195,195,178,32,516,155,734,92,86,761,228,385,245,116,225,131
14/07/2021,150,150,195,56,458,156,607,88,88,774,187,361,179,86,168,121
15/07/2021,161,161,172,33,467,166,607,73,92,858,219,379,222,101,169,125
16/07/2021,167,167,185,54,440,161,568,83,90,714,211,276,185,133,174,121
17/07/2021,172,172,176,55,435,194,601,81,75,617,168,263,174,137,186,107
18/07/2021,141,141,122,29,439,203,553,54,101,368,195,226,163,119,142,109
19/07/2021,218,218,233,96,687,245,856,139,147,1011,272,393,337,158,240,157
20/07/2021,214,214,207,85,884,235,877,124,177,937,238,371,321,176,290,186
21/07/2021,157,157,204,59,491,214,617,119,105,850,211,371,319,148,212,147
22/07/2021,148,148,159,100,505,156,783,58,87,757,201,329,174,87,174,145
23/07/2021,250,250,151,67,431,180,750,96,89,743,204,350,170,121,210,139
24/07/2021,202,202,135,67,558,152,718,80,136,701,175,304,247,138,183,118
25/07/2021,224,224,144,35,458,238,715,79,141,487,216,365,182,105,172,130
26/07/2021,280,280,230,105,617,245,932,114,155,1028,275,438,333,199,327,174
27/07/2021,223,223,190,104,609,242,939,105,164,844,261,428,260,128,252,161
28/07/2021,243,243,230,64,557,186,854,103,123,816,241,397,202,125,203,121
29/07/2021,237,237,169,101,440,156,636,79,110,783,276,310,221,143,222,114
30/07/2021,184,184,165,143,455,183,646,70,99,858,228,307,201,141,227,110
31/07/2021,152,152,171,68,480,101,517,71,94,664,191,300,159,138,174,90
01/08/2021,223,223,216,28,597,266,697,73,144,513,242,458,254,171,179,96
02/08/2021,240,240,294,85,530,146,708,91,142,782,276,500,288,161,191,130
03/08/2021,206,206,258,91,551,143,627,85,105,704,223,457,228,139,248,104
04/08/2021,178,178,205,52,501,171,596,112,95,730,197,354,220,154,217,88
05/08/2021,227,227,214,57,529,136,580,89,104,983,225,391,206,135,210,91
06/08/2021,176,176,237,69,472,153,483,62,99,700,309,373,243,104,219,106
07/08/2021,156,156,168,50,471,222,529,116,87,671,183,362,238,112,169,92
08/08/2021,153,153,128,39,362,196,597,72,110,448,196,426,228,116,162,96
09/08/2021,252,252,227,81,491,171,696,78,112,816,244,432,269,146,224,122
10/08/2021,195,195,215,107,497,186,809,108,112,804,259,481,277,127,242,128
11/08/2021,149,149,163,90,468,108,577,95,84,639,189,374,210,107,207,73
12/08/2021,165,165,184,92,339,103,559,72,90,564,213,342,194,124,167,99
13/08/2021,150,150,151,74,341,151,536,50,105,568,163,333,191,102,177,69
14/08/2021,132,132,152,86,375,111,411,60,87,556,138,264,169,95,128,71
15/08/2021,148,148,154,34,283,117,548,43,93,352,209,310,192,95,105,90
16/08/2021,155,155,201,90,372,142,569,60,126,642,190,421,228,121,216,71
17/08/2021,153,153,165,64,346,98,555,98,107,635,133,363,227,109,193,111
18/08/2021,140,140,155,86,300,151,490,71,98,449,158,332,193,96,155,83
19/08/2021,143,143,112,65,320,107,411,53,69,454,131,334,165,74,182,42
20/08/2021,177,177,145,64,340,134,528,73,83,562,170,424,190,86,156,74
21/08/2021,87,87,66,24,244,104,354,40,67,325,130,184,163,78,111,48
22/08/2021,122,122,74,21,192,73,349,36,81,205,110,245,129,51,96,35
23/08/2021,145,145,109,45,388,113,444,51,79,555,136,415,215,71,139,67
24/08/2021,106,106,135,43,245,73,407,53,69,510,122,251,151,78,125,83
25/08/2021,133,133,107,52,251,87,378,68,56,438,149,338,193,65,118,65
26/08/2021,94,94,93,22,282,101,357,39,53,474,100,176,142,71,134,66
27/08/2021,96,96,87,44,489,81,312,28,44,475,111,249,154,50,130,83
28/08/2021,76,76,68,43,252,108,411,39,56,428,120,231,123,67,89,49
29/08/2021,89,89,61,14,200,60,331,24,43,145,108,191,95,46,83,41
30/08/2021,116,116,118,42,260,85,427,56,66,395,145,278,148,66,130,48
31/08/2021,96,96,93,62,228,65,293,33,57,279,100,233,91,55,103,39
01/09/2021,122,122,118,82,218,81,436,54,66,431,147,334,129,70,116,60
02/09/2021,92,92,121,21,211,55,289,30,47,398,113,219,113,55,118,59
03/09/2021,93,93,90,28,202,59,323,37,42,353,119,262,95,50,125,30
04/09/2021,48,48,83,27,144,55,229,26,31,220,107,198,98,47,89,47
05/09/2021,64,64,53,23,150,45,284,36,43,178,71,224,98,53,57,41
06/09/2021,113,113,106,30,174,61,325,42,50,314,91,285,109,66,89,46
07/09/2021,83,83,86,41,172,45,262,35,37,294,89,236,122,52,77,46
08/09/2021,68,68,80,25,169,59,251,44,25,292,52,212,90,55,93,41
09/09/2021,77,77,77,35,126,47,290,24,42,306,68,188,77,44,69,33
10/09/2021,100,100,88,44,182,88,290,45,35,333,102,209,102,41,73,40
11/09/2021,50,50,66,43,144,63,249,23,17,242,100,116,74,41,86,33
12/09/2021,54,54,44,23,118,38,200,23,25,100,53,114,69,28,59,26
13/09/2021,73,73,63,41,131,43,238,35,41,285,47,217,78,30,78,32
14/09/2021,74,74,78,34,127,53,235,42,17,361,72,173,60,45,61,25
15/09/2021,64,64,65,20,113,60,329,21,33,255,72,169,60,33,56,47
16/09/2021,48,48,23,14,77,44,142,13,23,116,71,84,45,23,54,23
17/09/2021,72,72,58,22,177,54,245,24,39,313,89,222,80,40,67,44
18/09/2021,60,60,59,15,98,45,166,26,28,203,81,162,83,32,76,32
19/09/2021,58,58,55,14,116,54,265,23,33,139,67,109,60,25,59,24
20/09/2021,87,87,122,32,172,67,390,27,47,322,88,251,108,37,122,38
21/09/2021,67,67,80,26,130,51,264,19,23,250,80,153,73,49,60,33
22/09/2021,66,66,68,44,136,54,191,18,35,219,95,192,47,49,95,36
23/09/2021,63,63,70,21,97,34,144,25,10,222,62,165,63,44,70,29
24/09/2021,57,57,94,17,142,17,176,28,22,304,41,195,65,37,71,36
25/09/2021,42,42,61,25,79,25,168,28,26,223,65,147,48,34,73,24
26/09/2021,32,32,47,14,92,27,147,29,20,93,37,118,40,37,48,24
27/09/2021,51,51,48,47,121,25,181,26,25,182,80,172,68,38,74,22
28/09/2021,53,53,48,28,96,21,162,28,19,159,53,119,50,15,57,19
29/09/2021,30,30,41,22,69,40,150,14,16,135,51,104,49,29,52,12
30/09/2021,44,44,33,13,66,25,109,14,16,90,28,94,24,25,46,16
01/10/2021,61,61,46,13,214,48,143,12,20,128,72,130,47,26,53,21
02/10/2021,22,22,27,8,61,21,111,12,16,70,41,108,28,25,36,12
03/10/2021,24,24,28,5,55,28,119,20,12,68,44,91,38,17,34,8
04/10/2021,45,45,37,20,75,18,163,15,16,185,53,158,46,23,40,17
05/10/2021,31,31,56,12,50,35,141,17,23,139,34,127,49,32,39,14
06/10/2021,33,33,59,6,59,22,121,12,15,106,38,71,13,50,36,10
07/10/2021,23,23,33,10,72,25,115,9,14,81,33,83,22,26,34,13
08/10/2021,43,43,40,17,54,33,130,13,11,97,41,76,21,14,42,13
09/10/2021,19,19,28,8,52,28,92,7,11,63,25,50,23,23,39,14
10/10/2021,15,15,37,7,70,21,155,11,23,65,37,78,26,18,39,12
11/10/2021,34,34,30,8,75,19,118,12,7,164,36,64,26,20,44,14
12/10/2021,35,35,31,14,52,34,102,11,23,113,15,77,30,20,63,17
13/10/2021,31,31,32,3,45,11,100,14,15,99,31,44,24,18,39,10
14/10/2021,29,29,26,10,44,21,79,6,11,118,27,27,13,13,40,9
15/10/2021,38,38,32,10,77,32,137,8,12,183,50,53,15,13,29,9
16/10/2021,14,14,23,7,31,21,69,7,14,76,36,39,16,14,13,5
17/10/2021,10,10,24,4,61,12,72,7,12,43,33,56,11,5,18,8
18/10/2021,40,40,35,65,52,15,78,16,13,115,54,76,22,17,28,9
19/10/2021,39,39,29,9,41,26,69,6,16,120,46,74,24,18,15,8
20/10/2021,21,21,38,11,75,14,77,15,8,85,50,99,18,12,32,14
21/10/2021,36,36,11,19,47,8,57,3,8,73,28,49,16,20,19,3
22/10/2021,34,34,20,5,26,12,70,8,12,133,31,86,4,20,26,15
23/10/2021,10,10,13,3,42,8,53,4,10,94,25,51,10,13,12,9
24/10/2021,8,8,11,2,29,9,42,2,12,32,25,63,11,9,12,7
25/10/2021,28,28,15,13,141,17,66,15,15,84,22,75,13,17,23,14
26/10/2021,23,23,29,8,78,9,65,11,13,81,26,55,13,14,32,7
27/10/2021,18,18,21,3,34,14,46,7,7,98,20,44,12,13,17,13
28/10/2021,17,17,13,22,39,11,37,13,4,83,20,45,9,7,24,11
29/10/2021,26,26,15,3,141,18,58,7,6,88,16,46,6,7,21,5
30/10/2021,4,4,8,3,23,11,32,3,7,40,9,59,8,12,12,5
31/10/2021,4,4,13,3,14,15,24,7,5,25,22,78,12,8,6,8
01/11/2021,26,26,19,8,61,21,100,15,13,61,21,95,22,10,24,6
02/11/2021,13,13,23,1,25,22,62,7,4,42,18,61,14,15,14,8
03/11/2021,28,28,14,10,107,32,53,12,6,93,24,96,29,11,22,8
04/11/2021,18,18,17,8,38,16,46,12,7,68,26,76,21,5,12,12
05/11/2021,24,24,20,7,27,13,54,12,8,76,21,88,11,16,23,8
06/11/2021,12,12,18,4,111,8,46,11,5,50,21,60,8,10,13,7
07/11/2021,8,8,15,0,28,10,38,12,8,24,16,59,12,3,8,9
08/11/2021,18,18,22,5,78,8,63,11,9,94,22,99,20,12,19,5
09/11/2021,22,22,14,4,57,9,44,9,15,67,14,93,30,16,11,10
10/11/2021,31,31,15,29,44,20,59,13,8,52,16,87,32,15,26,11
11/11/2021,24,24,17,16,83,9,38,9,2,55,13,78,20,8,14,11
12/11/2021,12,12,15,44,35,8,52,16,2,50,13,50,12,7,10,1
13/11/2021,16,16,10,4,16,10,45,4,3,42,14,74,8,8,11,3
14/11/2021,17,17,16,4,14,11,40,8,7,30,19,44,5,7,9,7
15/11/2021,20,20,23,5,35,10,53,6,7,48,26,61,17,11,13,9
16/11/2021,29,29,22,16,38,4,55,6,3,53,14,69,13,12,16,6
17/11/2021,34,34,18,29,126,10,51,5,5,28,18,57,21,9,12,9
18/11/2021,28,28,21,5,89,9,50,7,6,35,11,61,15,13,12,8
19/11/2021,26,26,21,4,184,4,45,7,4,31,11,47,9,11,26,6
20/11/2021,25,25,14,3,96,8,47,7,7,46,16,63,10,13,13,8
21/11/2021,14,14,23,1,38,6,42,7,9,22,9,44,20,7,16,7
22/11/2021,25,25,13,3,49,3,47,9,9,72,7,63,11,12,19,6
23/11/2021,30,30,11,8,54,7,40,5,8,84,23,47,14,20,17,3
24/11/2021,27,27,10,4,34,6,39,7,5,71,20,47,9,10,13,10
25/11/2021,29,29,10,1,131,9,35,15,8,46,13,56,9,13,14,10
26/11/2021,23,23,11,0,44,10,54,8,4,78,22,39,6,13,10,6
27/11/2021,7,7,7,1,35,5,22,8,4,54,12,46,2,15,8,8
28/11/2021,17,17,13,1,48,7,78,4,4,31,18,44,11,19,14,3
29/11/2021,24,24,14,1,53,13,46,4,9,73,19,51,6,26,15,3
30/11/2021,21,21,14,1,46,3,55,5,5,73,12,74,8,15,15,8
01/12/2021,15,15,14,4,46,11,37,5,4,101,20,53,12,17,21,10
02/12/2021,13,13,9,5,147,7,38,6,1,43,10,32,4,5,16,13
03/12/2021,21,21,10,2,27,3,48,4,5,51,12,59,9,9,16,10
04/12/2021,8,8,6,2,20,7,40,12,2,17,6,49,5,9,14,6
05/12/2021,21,21,7,3,28,4,46,4,7,34,11,73,6,6,9,5
06/12/2021,21,21,11,2,71,11,47,8,3,75,6,40,6,9,14,11
07/12/2021,23,23,7,1,26,4,62,9,1,48,11,37,11,7,12,8
08/12/2021,18,18,5,3,31,9,43,9,2,45,7,29,3,11,22,10
09/12/2021,19,19,16,3,28,4,36,4,1,36,7,17,4,15,22,7
10/12/2021,29,29,15,3,156,9,60,2,4,58,8,42,14,14,24,11
11/12/2021,10,10,11,2,28,6,27,2,1,26,6,34,4,10,12,2
12/12/2021,7,7,16,4,28,11,35,4,0,52,7,55,2,9,24,11
13/12/2021,33,33,17,3,66,9,48,7,3,58,12,44,8,13,38,12
14/12/2021,18,18,17,7,48,6,47,7,2,57,6,56,4,17,25,15
15/12/2021,24,24,9,4,45,8,39,9,1,85,15,65,4,19,33,16
16/12/2021,24,24,23,5,37,11,36,13,2,137,8,28,10,20,46,19
17/12/2021,37,37,22,5,72,11,64,16,0,64,10,45,12,24,50,22
18/12/2021,22,22,22,3,53,29,46,10,3,92,18,56,7,26,42,24
19/12/2021,38,38,23,3,48,26,39,9,1,96,18,76,10,31,64,22
20/12/2021,52,52,56,12,115,40,113,32,3,186,26,110,32,57,107,34
21/12/2021,57,57,53,8,125,39,102,21,7,133,33,104,21,55,86,53
22/12/2021,45,45,55,22,130,35,75,18,7,162,15,75,16,90,105,45
23/12/2021,58,58,75,24,166,36,90,31,13,181,20,126,30,101,133,47
24/12/2021,88,88,93,15,162,72,114,37,14,212,51,172,45,95,109,56
25/12/2021,69,69,94,7,217,97,155,36,15,151,51,171,69,113,116,89
26/12/2021,136,136,105,12,325,127,213,52,32,259,72,197,73,139,181,99
27/12/2021,181,181,153,29,532,148,308,87,36,440,86,290,121,210,225,174
28/12/2021,198,198,203,40,485,144,377,83,33,407,94,277,124,201,262,122
29/12/2021,159,159,153,102,420,113,267,101,32,424,95,302,109,183,224,129
30/12/2021,183,183,198,61,379,135,300,72,28,441,122,275,130,187,241,143
